sector,entityid,entityName,plantid,balancing_authority_code,balancing.authority.name,status,latitude,longitude,gen_cap,operating.year.month
ipp-non-chp,57036,Copper Mountain 1 LLC,56944,CISO,California Independent System Operator,OP,35.7881,-114.9933,10,2008-12
ipp-non-chp,57036,Copper Mountain 1 LLC,57205,CISO,California Independent System Operator,OP,35.7814,-114.9933,48,2010-06
ipp-non-chp,58720,Enbridge,57442,NEVP,Nevada Power Company,OP,35.793056,-115.35028,52,2012-05
ipp-non-chp,59745,First Solar Asset Management,57859,NEVP,Nevada Power Company,OP,36.52995,-114.770308,250,2016-12
ipp-non-chp,57391,"Copper Mountain Solar 2, LLC",58017,CISO,California Independent System Operator,OP,35.786389,-114.962778,154,2012-10
ipp-non-chp,58245,"Patua Acquisition Company, LLC",58319,NEVP,Nevada Power Company,OP,39.585833,-119.073056,10.6,2017-07
ipp-non-chp,58464,City of Las Vegas,58477,NEVP,Nevada Power Company,OP,36.134444,-115.035278,3.3,2013-05
ipp-non-chp,17650,Southern Power Co,58489,NEVP,Nevada Power Company,OP,36.39,-114.97,20,2012-07
ipp-non-chp,17650,Southern Power Co,58490,NEVP,Nevada Power Company,OP,36.23,-114.87,30,2013-09
ipp-non-chp,58515,NextEra Energy Mountain View Solar,58544,NEVP,Nevada Power Company,OP,36.390556,-114.964444,20,2014-01
ipp-non-chp,59363,"Silver State Solar Power South, LLC",58644,CISO,California Independent System Operator,OP,35.63,-115.32,260.1,2015-11
ipp-non-chp,17650,Southern Power Co,58646,CISO,California Independent System Operator,OP,35.6,-115.4,299.5,2015-12
ipp-non-chp,58790,"Copper Mountain Solar 3, LLC",58915,LDWP,Los Angeles Department of Water and Power,OP,35.889419,-114.957912,255,2014-05
ipp-non-chp,59175,Searchlight Solar LLC,59404,NEVP,Nevada Power Company,OP,35.479722,-114.936111,17.5,2014-12
ipp-non-chp,59208,NRG Solar Las Vegas MB-1,59430,NEVP,Nevada Power Company,OP,36.088611,-115.177778,5,2015-02
commercial-non-chp,57369,"Apple, Inc",59472,NEVP,Nevada Power Company,OP,39.128056,-119.14,19.9,2015-05
ipp-non-chp,59514,"River Mountains Solar, LLC",59747,NEVP,Nevada Power Company,OP,36.031616,-114.929399,14.4,2016-01
ipp-non-chp,59595,"Copper Mountain Solar 4, LLC",59814,CISO,California Independent System Operator,OP,35.78222,-114.975375,93.6,2016-10
ipp-non-chp,61785,EDP Renewables North America LLC,59826,CISO,California Independent System Operator,OP,36.518,-116.497,103.5,2019-12
ipp-non-chp,57170,"EDF Renewable Asset Holdings, Inc.",59827,NEVP,Nevada Power Company,OP,36.408,-114.908,79,2017-10
electric-utility,13407,Nevada Power Co,59919,NEVP,Nevada Power Company,OP,36.206672,-115.047703,15,2015-11
ipp-non-chp,57170,"EDF Renewable Asset Holdings, Inc.",60261,NEVP,Nevada Power Company,OP,36.408,-114.908,100,2017-08
ipp-non-chp,60145,NRG Solar Las Vegas MB 2,60350,NEVP,Nevada Power Company,OP,36.087426,-115.175381,1.9,2016-07
ipp-non-chp,17650,Southern Power Co,60352,NEVP,Nevada Power Company,OP,35.348,-114.97,100,2016-12
ipp-non-chp,60472,Tungsten Mountain,60785,NEVP,Nevada Power Company,OP,39.667002,-117.693658,7.3,2019-07
ipp-non-chp,60639,AEP Renewables,60885,NEVP,Nevada Power Company,OP,35.85,-114.944,50,2017-01
ipp-non-chp,59050,Algonquin Power Co,61084,NEVP,Nevada Power Company,OP,38.546947,-118.19156,50,2017-02
commercial-non-chp,57389,IKEA Property Inc,61193,NEVP,Nevada Power Company,OP,36.068926,-115.280825,1,2016-05
ipp-non-chp,61532,Techren Solar I LLC,61611,NEVP,Nevada Power Company,OP,35.851336,-114.974386,100,2019-03
ipp-non-chp,61435,"EGP Stillwater Solar PV II, LLC",61809,NEVP,Nevada Power Company,OP,39.542041,-118.560147,20,2018-06
ipp-non-chp,61442,Dignity - Siena Campus,61825,NEVP,Nevada Power Company,OP,36.004293,-115.115305,1.4,2018-05
ipp-non-chp,61481,Dignity - San Martin,61862,NEVP,Nevada Power Company,OP,36.057181,-115.272131,1.7,2018-05
ipp-non-chp,61533,Techren Solar II LLC,61930,NEVP,Nevada Power Company,OP,35.867258,-114.956428,200,2019-10
ipp-non-chp,61534,Techren Solar III LLC,61931,NEVP,Nevada Power Company,OP,35.844106,-114.9713,25,2020-10
ipp-non-chp,61535,Techren Solar IV LLC,61932,NEVP,Nevada Power Company,OP,35.892658,-114.936525,25,2020-10
ipp-non-chp,61954,Techren Solar V LLC,62440,NEVP,Nevada Power Company,OP,35.899694,-114.92625,50,2020-12
ipp-non-chp,61494,Radian Generation,62636,NEVP,Nevada Power Company,OP,36.275051,-115.972329,15,2017-02
electric-utility,57222,Liberty Utilities (CalPeco Electric) LLC,62980,NEVP,Nevada Power Company,OP,39.59,-119.52,10,2019-11
ipp-non-chp,60025,Greenbacker Renewable Energy Corporation,63906,NEVP,Nevada Power Company,OP,39.57395,-119.5242,60,2020-12
industrial-non-chp,60947,Tesla Inc.,64098,NEVP,Nevada Power Company,OP,39.539511,-119.439158,0.9,2019-07
ipp-non-chp,57170,"EDF Renewable Asset Holdings, Inc.",57372,PGE,Portland General Electric Company,OP,45.112222,-123.234722,1.6,2011-10
ipp-non-chp,57170,"EDF Renewable Asset Holdings, Inc.",57652,PGE,Portland General Electric Company,OP,45.108889,-123.278611,1,2011-10
electric-utility,15248,Portland General Electric Co,57882,PGE,Portland General Electric Company,OP,45.269444,-122.771667,1.7,2012-01
ipp-non-chp,58083,"Outback Solar, LLC",58131,BPAT,Bonneville Power Administration,OP,43.236944,-120.49,4.4,2012-10
electric-utility,14354,PacifiCorp,58150,PACW,PacifiCorp - West,OP,42.17505,-120.362631,2,2012-10
ipp-non-chp,60947,Tesla Inc.,58961,PACW,PacifiCorp - West,OP,42.254167,-121.785,2,2014-01
ipp-non-chp,59143,Old Mill Solar,59374,PACW,PacifiCorp - West,OP,42.203333,-121.046389,5,2015-12
ipp-non-chp,60947,Tesla Inc.,59790,PACW,PacifiCorp - West,OP,44.573484,-123.31695,1.2,2014-03
ipp-non-chp,59788,Steel Bridge Solar. LLC,60057,PGE,Portland General Electric Company,OP,45.068,-123.47,2.3,2016-02
ipp-non-chp,60947,Tesla Inc.,60112,PACW,PacifiCorp - West,OP,45.528457,-122.66317,1.4,2016-07
ipp-non-chp,58695,Coronal Development Services,60330,IPCO,Idaho Power Company,OP,43.936687,-117.381214,6,2016-09
ipp-non-chp,61060,Cypress Creek Renewables,60331,IPCO,Idaho Power Company,OP,44.151256,-117.000071,9,2016-10
ipp-non-chp,58695,Coronal Development Services,60332,IPCO,Idaho Power Company,OP,43.796766,-117.065311,10,2016-09
ipp-non-chp,61060,Cypress Creek Renewables,60333,IPCO,Idaho Power Company,OP,43.998019,-117.10118,4.5,2016-11
ipp-non-chp,61060,Cypress Creek Renewables,60334,IPCO,Idaho Power Company,OP,43.93097,-116.987626,10,2016-11
ipp-non-chp,61060,Cypress Creek Renewables,60335,IPCO,Idaho Power Company,OP,43.965031,-117.25806,10,2016-11
ipp-non-chp,61060,Cypress Creek Renewables,60548,PACW,PacifiCorp - West,OP,44.06803,-121.22838,9.9,2016-12
ipp-non-chp,60358,BC Solar,60616,PACW,PacifiCorp - West,OP,42.175,-120.3598,8,2016-11
ipp-non-chp,60610,"OSLH, LLC",60976,PACW,PacifiCorp - West,OP,44.061,-121.228,9.9,2016-12
ipp-non-chp,15399,Avangrid Renewables LLC,61048,BPAT,Bonneville Power Administration,OP,44.1843,-120.918,56.3,2017-10
ipp-non-chp,63757,"OR Solar 2, LLC",61200,PACW,PacifiCorp - West,OP,42.542084,-122.781338,10,2020-10
ipp-non-chp,59462,"Heelstone Energy Holdings, LLC",61201,PACW,PacifiCorp - West,OP,42.022336,-121.418873,10,2017-12
ipp-non-chp,60888,"GCL New Energy, Inc.",61281,PACW,PacifiCorp - West,OP,44.060814,-121.237203,10,2018-09
ipp-non-chp,60978,"SP Solar 5, LLC",61338,PGE,Portland General Electric Company,OP,45.16964,-123.13633,2.2,2017-12
ipp-non-chp,15399,Avangrid Renewables LLC,61345,AVRN,Avangrid Renewables LLC,OP,45.5846,-120.59994,10,2018-08
ipp-non-chp,59462,"Heelstone Energy Holdings, LLC",61423,PACW,PacifiCorp - West,OP,42.030332,-121.611565,8,2018-01
ipp-non-chp,59462,"Heelstone Energy Holdings, LLC",61424,PACW,PacifiCorp - West,OP,42.238888,-121.585833,10,2018-03
ipp-non-chp,59462,"Heelstone Energy Holdings, LLC",61430,PACW,PacifiCorp - West,OP,42.208988,-120.367807,10,2017-12
ipp-non-chp,60888,"GCL New Energy, Inc.",61496,PACW,PacifiCorp - West,OP,44.675,-121.122,10,2018-07
ipp-non-chp,60888,"GCL New Energy, Inc.",61497,PACW,PacifiCorp - West,OP,44.618,-121.205,10,2018-08
ipp-non-chp,60609,"Clean Focus Renewables, Inc.",61553,PACW,PacifiCorp - West,OP,42.183,-121.764,2.9,2017-12
ipp-non-chp,61160,"Woodline Solar, LLC",61559,PACW,PacifiCorp - West,OP,42.236443,-121.57766,8,2017-12
ipp-non-chp,61161,"Norwest Energy 7, LLC",61560,PACW,PacifiCorp - West,OP,42.400814,-122.82917,9.9,2017-12
ipp-non-chp,59462,"Heelstone Energy Holdings, LLC",61580,PACW,PacifiCorp - West,OP,44.192575,-121.233106,9.9,2017-12
ipp-non-chp,59462,"Heelstone Energy Holdings, LLC",61631,PACW,PacifiCorp - West,OP,42.610732,-121.861248,9.9,2018-01
ipp-non-chp,61451,"SP Solar 7, LLC",61827,PGE,Portland General Electric Company,OP,45.17,-123.135,2.2,2017-12
ipp-non-chp,61450,"SP Solar 8, LLC",61828,PGE,Portland General Electric Company,OP,45.033,-123.094,2.2,2017-12
ipp-non-chp,61449,"Silverton Solar, LLC",61829,PGE,Portland General Electric Company,OP,45.014,-122.807,2.2,2017-12
ipp-non-chp,61448,"Sheep Solar, LLC",61830,PGE,Portland General Electric Company,OP,44.826,-122.949,2.2,2017-12
ipp-non-chp,61445,"SP Solar 6, LLC",61831,PGE,Portland General Electric Company,OP,45.17,-122.473,2.2,2017-12
ipp-non-chp,61447,"SP Solar 1, LLC",61832,PGE,Portland General Electric Company,OP,45.129,-122.899,2.2,2017-12
ipp-non-chp,61454,"NorWest Energy 14, LLC",61835,PGE,Portland General Electric Company,OP,45.054,-123.61,2.2,2017-12
ipp-non-chp,60496,"Adapture Renewables, Inc.",61844,IPCO,Idaho Power Company,OP,44.465334,-118.204075,2.8,2020-01
ipp-non-chp,60496,"Adapture Renewables, Inc.",61854,IPCO,Idaho Power Company,OP,44.702418,-117.763482,15,2020-02
ipp-non-chp,60496,"Adapture Renewables, Inc.",61855,IPCO,Idaho Power Company,OP,43.951376,-117.07478,3,2020-05
ipp-non-chp,60496,"Adapture Renewables, Inc.",61856,IPCO,Idaho Power Company,OP,44.157874,-117.44434,3,2020-08
ipp-non-chp,60496,"Adapture Renewables, Inc.",61860,IPCO,Idaho Power Company,OP,44.112841,-117.028093,3,2020-05
ipp-non-chp,61705,Boring Solar LLC,62169,PGE,Portland General Electric Company,OP,45.431,-122.285,2.2,2019-04
ipp-non-chp,61703,Ballston Solar LLC,62170,PGE,Portland General Electric Company,OP,45.077,-123.395,2.2,2018-12
ipp-non-chp,61704,Labish Solar LLC,62171,PGE,Portland General Electric Company,OP,45.023,-122.922,2.2,2018-12
ipp-non-chp,61494,Radian Generation,62241,PACW,PacifiCorp - West,OP,45.917,-119.343,8,2018-09
ipp-non-chp,61494,Radian Generation,62268,PACW,PacifiCorp - West,OP,42.695,-121.614,5.6,2019-01
ipp-non-chp,60888,"GCL New Energy, Inc.",62272,PACW,PacifiCorp - West,OP,42.392193,-121.024494,8,2018-12
ipp-non-chp,62051,Airport Solar LLC,62560,PACW,PacifiCorp - West,OP,42.170176,-120.402317,47.3,2019-12
ipp-non-chp,62989,Rafael Solar LLC,63206,PGE,Portland General Electric Company,OP,44.859838,-123.007913,2.2,2019-10
ipp-non-chp,62990,Case Creek Solar LLC,63207,PGE,Portland General Electric Company,OP,45.172,-122.912,2.2,2019-10
ipp-non-chp,62991,Kale Patch Solar LLC,63208,PGE,Portland General Electric Company,OP,45.083,-122.904,2.2,2019-10
ipp-non-chp,62992,O'Neill Creek Solar LLC,63235,PGE,Portland General Electric Company,OP,45.472,-123.129,2.2,2019-11
ipp-non-chp,63065,SOLV Inc.,63301,PACW,PacifiCorp - West,OP,42.16,-120.4,10,2019-12
ipp-non-chp,62627,Alchemy Renewable Energy,63330,PGE,Portland General Electric Company,OP,45.35,-122.35,10,2020-02
ipp-non-chp,62627,Alchemy Renewable Energy,63331,PGE,Portland General Electric Company,OP,45.35,-122.25,10,2020-02
ipp-non-chp,63121,"Starvation Solar I, LLC",63344,BPAT,Bonneville Power Administration,OP,43.50222,-119.14852,9.9,2019-12
ipp-non-chp,63185,Neighborhood Power Corp.,63442,PGE,Portland General Electric Company,OP,45.375,-122.265,1.9,2019-12
ipp-non-chp,63185,Neighborhood Power Corp.,63443,PGE,Portland General Electric Company,OP,45.131407,-122.619475,2.2,2019-11
ipp-non-chp,63185,Neighborhood Power Corp.,63456,PGE,Portland General Electric Company,OP,45.11994,-122.9361,2.2,2020-03
ipp-non-chp,63202,"Pika Solar, LLC",63462,PGE,Portland General Electric Company,OP,45.089244,-122.7705,2.2,2020-12
ipp-non-chp,63205,"Brush Creek Solar, LLC",63464,PGE,Portland General Electric Company,OP,44.984217,-122.813127,2.2,2020-05
ipp-non-chp,63206,"Minke Solar, LLC",63465,PGE,Portland General Electric Company,OP,45.172332,-122.622665,2.2,2020-12
ipp-non-chp,63207,"Drift Creek Solar, LLC",63466,PGE,Portland General Electric Company,OP,44.970572,-122.803509,2.2,2020-05
ipp-non-chp,63208,"Bighorn Solar, LLC",63467,PGE,Portland General Electric Company,OP,44.965702,-122.954234,2.2,2020-12
ipp-non-chp,63339,"Fort Rock Solar I, LLC",63636,BPAT,Bonneville Power Administration,OP,43.320081,-121.003496,9.9,2020-03
ipp-non-chp,63459,"Suntex Solar, LLC",63778,BPAT,Bonneville Power Administration,OP,43.56149,-119.68621,10,2020-07
ipp-non-chp,63460,"Rock Garden, LLC",63779,BPAT,Bonneville Power Administration,OP,43.39691,-120.93038,10,2020-06
ipp-non-chp,63468,"Alkali Solar, LLC",63795,BPAT,Bonneville Power Administration,OP,43.31942,-121.0035,10,2020-06
ipp-non-chp,63469,"West Hines Solar I, LLC",63796,BPAT,Bonneville Power Administration,OP,43.50259,-119.14713,10,2020-06
ipp-non-chp,63573,SulusSolar17,63908,PGE,Portland General Electric Company,OP,45.34891,-122.433515,3.1,2020-06
ipp-non-chp,63592,Riley Solar I LLC,63925,BPAT,Bonneville Power Administration,OP,43.5559,-119.6852,10,2020-07
ipp-non-chp,63593,Fort Rock Solar IV LLC,63926,BPAT,Bonneville Power Administration,OP,43.38988,-120.956087,10,2020-06
ipp-non-chp,60025,Greenbacker Renewable Energy Corporation,63956,PGE,Portland General Electric Company,OP,45.18484,-123.10175,2.3,2020-11
ipp-non-chp,60025,Greenbacker Renewable Energy Corporation,63957,PGE,Portland General Electric Company,OP,45.26866,-122.32942,2.3,2020-10
ipp-non-chp,63623,"Thor Solar 1 CEI, LLC",63958,PGE,Portland General Electric Company,OP,44.985,-122.938,2,2020-12
ipp-non-chp,63623,"Thor Solar 1 CEI, LLC",63959,PGE,Portland General Electric Company,OP,45.11601,-122.793791,2,2020-12
ipp-non-chp,63623,"Thor Solar 1 CEI, LLC",63960,PGE,Portland General Electric Company,OP,45.254,-122.806,2,2020-12
ipp-non-chp,63623,"Thor Solar 1 CEI, LLC",63961,PGE,Portland General Electric Company,OP,45.42,-122.333,4,2020-12
ipp-non-chp,63623,"Thor Solar 1 CEI, LLC",63962,PGE,Portland General Electric Company,OP,45.102,-122.662,2,2020-12
ipp-non-chp,63623,"Thor Solar 1 CEI, LLC",63963,PGE,Portland General Electric Company,OP,45.182,-122.591,2,2020-12
ipp-non-chp,63623,"Thor Solar 1 CEI, LLC",63964,PGE,Portland General Electric Company,OP,45.139507,-122.904499,2,2020-12
ipp-non-chp,63624,SulusSolar35,63969,PGE,Portland General Electric Company,OP,45.140551,-122.649655,3,2020-07
ipp-non-chp,63656,SulusSolar28,64007,PGE,Portland General Electric Company,OP,45.1,-123.52,3,2020-10
ipp-non-chp,63671,GreenparkSolar,64033,PGE,Portland General Electric Company,OP,44.879414,-122.937451,1.3,2020-11
